Source,Target
.22-caliber,.22-calibre
.22-caliber,.22 caliber
.22-caliber,.22 calibre
.22-calibre,.22 caliber
.22-calibre,.22 calibre
.22 caliber,.22 calibre
.38-caliber,.38-calibre
.38-caliber,.38 caliber
.38-caliber,.38 calibre
.38-calibre,.38 caliber
.38-calibre,.38 calibre
.38 caliber,.38 calibre
.45-caliber,.45-calibre
.45-caliber,.45 caliber
.45-caliber,.45 calibre
.45-calibre,.45 caliber
.45-calibre,.45 calibre
.45 caliber,.45 calibre
10-membered,ten-membered
2-dimensional,flat
2-dimensional,two-dimensional
2-dimensional,flatter
2d,second
3-dimensional,third-dimensional
3-dimensional,three-d
3-dimensional,three-dimensional
3-membered,three-membered
4-dimensional,four-dimensional
4-membered,four-membered
5-membered,five-membered
6-membered,six-membered
7-membered,seven-membered
8-membered,eight-membered
9-membered,nine-membered
a-ok,a-okay
a.m.,ante meridiem
a couple of,a few
a la mode,in style
a la mode,in vogue
a la mode,latest
a la mode,modish
abandoned,derelict
abandoned,deserted
abashed,chagrined
abashed,embarrassed
abasic,abatic
abaxial,dorsal
abbreviated,brief
abbreviated,shortened
abdominal,ab
abdominal,abdominal muscle
abdominous,paunchy
abdominous,potbellied
abducent,abducting
abducent,abducens
abducent,abducens nerve
abducent,abducent nerve
abducent,nervus abducens
abducent,sixth cranial nerve
aberrant,deviant
aberrant,deviate
abeyant,dormant
abhorrent,detestable
abhorrent,obscene
abhorrent,repugnant
abhorrent,repulsive
abiding,imperishable
abject,low
abject,low-down
abject,lowest
abject,miserable
abject,scummy
abject,scurvy
ablative,ablative case
ablaze,afire
ablaze,aflame
ablaze,aflare
ablaze,alight
ablaze,aroused
ablaze,inflamed
ablaze,on fire
ablaze,reddened
able,able-bodied
able,capable
abloom,efflorescent
ablutionary,cleansing
abnormal,unnatural
abominable,atrocious
abominable,awful
abominable,detestable
abominable,execrable
abominable,odious
abominable,terrible
abominable,unspeakable
aboriginal,native
aboriginal,primaeval
aboriginal,primal
aboriginal,primeval
aboriginal,primordial
aboriginal,indigen
abortifacient,aborticide
abortifacient,abortion-inducing drug
abortive,stillborn
abortive,unsuccessful
aboulic,abulic
abounding,galore
above-mentioned,above-named
aboveboard,straightforward
aboveboard,honestly
abranchial,gill-less
abrasive,harsh
abrasive,scratchy
abrasive,abradant
abrasive,abrasive material
abreast,au courant
abreast,au fait
abreast,up on
abroach,broached
abroad,afield
abrupt,disconnected
abrupt,sharp
abrupt,sharper
abruptly-pinnate,even-pinnate
abruptly-pinnate,paripinnate
absent,absentminded
absent,lacking
absent,removed
absent,scatty
absentminded,scatty
absolute,downright
absolute,infrangible
absolute,inviolable
absolute,out-and-out
absolute,rank
absolute,right-down
absolute,sheer
absolved,clear
absolved,exculpated
absolved,exonerated
absolved,vindicated
absolvitory,exonerative
absorbed,engrossed
absorbed,enwrapped
absorbed,intent
absorbed,wrapped
absorbefacient,sorbefacient
absorbent,absorptive
absorbent,absorbent material
abstemious,light
abstemious,lighter
abstentious,abstinent
abstinent,abstainer
abstinent,nondrinker
abstract,abstractionist
abstract,hooked
abstract,lifted
abstract,nonfigurative
abstract,nonobjective
abstract,pinched
abstract,sneak
abstract,abstracter
abstract,cabbage
abstract,outline
abstract,precis
abstract,swipe
abstract,synopsis
abstract,filch
abstract,nobble
abstract,pilfer
abstract,purloin
abstract,snarf
abstractionist,nonfigurative
abstractionist,nonobjective
abstractionist,abstract artist
abstruse,deep
abstruse,recondite
absurd,cockeyed
absurd,derisory
absurd,idiotic
absurd,laughable
absurd,ludicrous
absurd,preposterous
absurd,ridiculous
absurd,the absurd
abused,ill-treated
abused,maltreated
abused,mistreated
abusive,opprobrious
abusive,scurrilous
abuzz,buzzing
abysmal,abyssal
abysmal,unfathomable
abyssal,unfathomable
academic,donnish
academic,pedantic
academic,academician
academic,faculty member
acanthoid,acanthous
acanthoid,spinous
acanthous,spinous
acapnial,acapnic
acapnial,acapnotic
acapnic,acapnotic
acaulescent,stemless
accelerative,acceleratory
accented,stressed
accented,tonic
acceptable,satisfactory
accepted,recognized
accessary,accessory
accessible,approachable
accessory,adjunct
accessory,adjuvant
accessory,ancillary
accessory,appurtenant
accessory,auxiliary
accessory,accouterment
accessory,accoutrement
accessory,add-on
accessory,appurtenance
accessory,supplement
accidental,inadvertent
acclivitous,rising
acclivitous,uphill
accommodative,accommodating
accommodative,cooperative
accommodative,reconciling
accompanied,attended
accompanying,attendant
accompanying,concomitant
accompanying,consequent
accompanying,ensuant
accompanying,incidental
accompanying,resultant
accompanying,sequent
accomplishable,achievable
accomplishable,doable
accomplishable,manageable
accomplishable,realizable
accomplished,complete
accomplished,effected
accomplished,established
accomplished,realised
accordant,agreeable
accordant,concordant
accordant,conformable
accordant,consonant
accoutered,accoutred
accredited,commissioned
accredited,licenced
accredited,licensed
accrued,accumulated
accumbent,decumbent
accumbent,recumbent
accurate,exact
accurate,precise
accursed,accurst
accursed,maledict
accurst,maledict
accusative,accusatory
accusative,objective
accusative,accusative case
accusative,objective case
accusing,accusative
accusing,accusatory
accustomed,customary
accustomed,habitual
accustomed,wonted
ace,1
ace,a-one
ace,adept
ace,champion
ace,crack
ace,first-rate
ace,one
ace,single
ace,star
ace,super
ace,tiptop
ace,top-notch
ace,topnotch
ace,virtuoso
ace,wizard
ace,genius
ace,hotshot
ace,maven
ace,mavin
ace,nail
ace,sensation
ace,superstar
ace,unity
ace,whiz
ace,whizz
ace,wiz
ace,breeze through
ace,pass with flying colors
ace,sail through
ace,sweep through
acellular,noncellular
acerate,acerose
acerate,acicular
acerate,needle-shaped
acerb,acid
acerb,acrid
acerb,astringent
acerb,bitter
acerb,blistering
acerb,caustic
acerb,sulfurous
acerb,sulphurous
acerb,virulent
acerb,vitriolic
acerose,acicular
acerose,needle-shaped
acetabular,cotyloid
acetose,acetous
acetose,vinegarish
acetose,vinegary
acetous,vinegarish
acetous,vinegary
achievable,doable
achievable,manageable
achievable,realizable
aching,achy
achromatic,neutral
acicular,needle-shaped
acid,acidulent
acid,acrid
acid,bitter
acid,blistering
acid,caustic
acid,sulfurous
acid,sulphurous
acid,virulent
acid,vitriolic
acid,back breaker
acid,battery-acid
acid,dose
acid,dot
acid,elvis
acid,loony toons
acid,lucy in the sky with diamonds
acid,pane
acid,superman
acid,window pane
acid,zen
acid-tasting,sour-tasting
acidophilic,aciduric
acinar,acinic
acinar,acinose
acinic,acinose
acned,pimpled
acned,pimply
acned,pustulate
acoustic,acoustics
acquiescent,biddable
acquitted,not guilty
acrid,bitter
acrid,blistering
acrid,caustic
acrid,pungent
acrid,sulfurous
acrid,sulphurous
acrid,virulent
acrid,vitriolic
acrimonious,bitter
acrobatic,athletic
acrobatic,gymnastic
across-the-board,all-embracing
across-the-board,all-encompassing
across-the-board,all-inclusive
across-the-board,blanket
across-the-board,broad
across-the-board,encompassing
across-the-board,extensive
across-the-board,panoptic
across-the-board,wide
acting,playacting
actinoid,actinide
actinoid,actinon
activating,actuating
activating,energizing
active,alive
active,combat-ready
active,dynamic
active,fighting
active,participating
active,active agent
active,active voice
activist,militant
actual,existent
actual,factual
actual,genuine
actual,literal
actual,real
acuate,acute
acuate,needlelike
acuate,sharp
acuate,sharper
acute,discriminating
acute,intense
acute,keen
acute,knifelike
acute,needlelike
acute,penetrating
acute,sharp
acute,acute accent
acute,ague
acute,sharper
acyclic,open-chain
ad-lib,extemporaneous
ad-lib,extemporary
ad-lib,extempore
ad-lib,impromptu
ad-lib,improvised
ad-lib,off-the-cuff
ad-lib,offhand
ad-lib,spontaneous
ad-lib,unrehearsed
ad-lib,unwritten
ad-lib,extemporise
ad-lib,extemporize
adamant,adamantine
adamant,inexorable
adamant,intransigent
adamant,diamond
adamantine,inexorable
adamantine,intransigent
adaxial,ventral
addable,addible
addictive,habit-forming
additional,extra
additive,linear
addlebrained,addlepated
addlebrained,muddleheaded
addlebrained,puddingheaded
addled,befuddled
addled,muddled
addled,muzzy
addled,woolly
addled,woolly-headed
addled,wooly
addled,wooly-minded
addlepated,muddleheaded
addlepated,puddingheaded
adducent,adducting
adenoid,luschka's tonsil
adenoid,pharyngeal tonsil
adenoid,third tonsil
adenoid,tonsilla adenoidea
adenoid,tonsilla pharyngealis
adenoidal,nasal
adenoidal,pinched
adept,best
adept,better
adept,champion
adept,expert
adept,good
adept,proficient
adept,skilful
adept,skillful
adept,star
adept,virtuoso
adept,wizard
adept,genius
adept,hotshot
adept,maven
adept,mavin
adept,sensation
adept,superstar
adept,whiz
adept,whizz
adept,wiz
adequate,decent
adequate,enough
adequate,equal
adequate,fair to middling
adequate,passable
adequate,tolerable
adequate to,capable
adequate to,equal to
adequate to,up to
adherent,disciple
adhesive,adhesive agent
adhesive,adhesive material
adjacent,conterminous
adjacent,contiguous
adjacent,neighboring
adjacent,next
adjacent,side by side
adjectival,adjective
adjective,procedural
adjudicative,adjudicatory
adjunct,adjuvant
adjunct,ancillary
adjunct,appurtenant
adjunct,assistant
adjunct,auxiliary
adjusted,familiarised
adjuvant,ancillary
adjuvant,appurtenant
adjuvant,auxiliary
admonishing,admonitory
admonishing,reproachful
admonishing,reproving
admonitory,cautionary
admonitory,exemplary
admonitory,monitory
admonitory,reproachful
admonitory,reproving
admonitory,warning
adnexal,annexal
adolescent,jejune
adolescent,juvenile
adolescent,puerile
adolescent,teen
adolescent,teenage
adolescent,stripling
adolescent,teenager
adorable,endearing
